State FIPS Code,Name,State Abbreviation,Year,Annual Federal Minimum,Annual State Minimum,Annual Federal Average,Annual State Average,Annual Federal Maximum,Annual State Maximum
2,Alaska,AK,1974,2,2.5,2,2.5,2,2.5
2,Alaska,AK,1975,2.1,2.59999990463257,2.10000000000001,2.59999990463257,2.1,2.59999990463257
2,Alaska,AK,1976,2.3,2.79999995231628,2.29999999999999,2.79999995231628,2.3,2.79999995231628
2,Alaska,AK,1977,2.3,2.79999995231628,2.29999999999999,2.79999995231628,2.3,2.79999995231628
2,Alaska,AK,1978,2.65,2.79999995231628,2.64999999999998,3.09342479705811,2.65,3.15000009536743
2,Alaska,AK,1979,2.9,3.40000009536743,2.89999999999999,3.40000009536743,2.9,3.40000009536743
2,Alaska,AK,1980,3.1,3.59999990463257,3.10000000000001,3.59999990463257,3.1,3.59999990463257
2,Alaska,AK,1981,3.35,3.84999990463257,3.35,3.84999990463257,3.35,3.84999990463257
2,Alaska,AK,1982,3.35,3.84999990463257,3.35,3.84999990463257,3.35,3.84999990463257
2,Alaska,AK,1983,3.35,3.84999990463257,3.35,3.84999990463257,3.35,3.84999990463257
2,Alaska,AK,1984,3.35,3.84999990463257,3.35,3.84999990463257,3.35,3.84999990463257
2,Alaska,AK,1985,3.35,3.84999990463257,3.35,3.84999990463257,3.35,3.84999990463257
2,Alaska,AK,1986,3.35,3.84999990463257,3.35,3.84999990463257,3.35,3.84999990463257
2,Alaska,AK,1987,3.35,3.84999990463257,3.35,3.84999990463257,3.35,3.84999990463257
2,Alaska,AK,1988,3.35,3.84999990463257,3.35,3.84999990463257,3.35,3.84999990463257
2,Alaska,AK,1989,3.35,3.84999990463257,3.35,3.84999990463257,3.35,3.84999990463257
2,Alaska,AK,1990,3.35,3.84999990463257,3.68904109589039,4.18904113769531,3.8,4.30000019073486
2,Alaska,AK,1991,3.8,4.30000019073486,4.13904109589041,4.63904094696045,4.25,4.75
2,Alaska,AK,1992,4.25,4.75,4.25,4.75,4.25,4.75
2,Alaska,AK,1993,4.25,4.75,4.25,4.75,4.25,4.75
2,Alaska,AK,1994,4.25,4.75,4.25,4.75,4.25,4.75
2,Alaska,AK,1995,4.25,4.75,4.25,4.75,4.25,4.75
2,Alaska,AK,1996,4.25,4.75,4.37568306010929,4.87568283081055,4.75,5.25
2,Alaska,AK,1997,4.75,5.25,4.88369863013702,5.38369846343994,5.15,5.65000009536743
2,Alaska,AK,1998,5.15,5.65000009536743,5.15000000000003,5.65000009536743,5.15,5.65000009536743
2,Alaska,AK,1999,5.15,5.65000009536743,5.15000000000003,5.65000009536743,5.15,5.65000009536743
2,Alaska,AK,2000,5.15,5.65000009536743,5.15000000000003,5.65000009536743,5.15,5.65000009536743
2,Alaska,AK,2001,5.15,5.65000009536743,5.15000000000003,5.65000009536743,5.15,5.65000009536743
2,Alaska,AK,2002,5.15,5.65000009536743,5.15000000000003,5.65000009536743,5.15,5.65000009536743
2,Alaska,AK,2003,5.15,7.15000009536743,5.15000000000003,7.15000009536743,5.15,7.15000009536743
2,Alaska,AK,2004,5.15,7.15000009536743,5.15000000000003,7.15000009536743,5.15,7.15000009536743
2,Alaska,AK,2005,5.15,7.15000009536743,5.15000000000003,7.15000009536743,5.15,7.15000009536743
2,Alaska,AK,2006,5.15,7.15000009536743,5.15000000000003,7.15000009536743,5.15,7.15000009536743
2,Alaska,AK,2007,5.15,7.15000009536743,5.45876712328767,7.15000009536743,5.85,7.15000009536743
2,Alaska,AK,2008,5.85,7.15000009536743,6.15792349726773,7.15000009536743,6.55,7.15000009536743
2,Alaska,AK,2009,6.55,7.15000009536743,6.85876712328766,7.19410943984985,7.25,7.25
2,Alaska,AK,2010,7.25,7.75,7.25,7.75,7.25,7.75
2,Alaska,AK,2011,7.25,7.75,7.25,7.75,7.25,7.75
2,Alaska,AK,2012,7.25,7.75,7.25,7.75,7.25,7.75
2,Alaska,AK,2013,7.25,7.75,7.25,7.75,7.25,7.75
2,Alaska,AK,2014,7.25,7.75,7.25,7.75,7.25,7.75
2,Alaska,AK,2015,7.25,8.75,7.25,8.75,7.25,8.75
2,Alaska,AK,2016,7.25,9.75,7.25,9.75,7.25,9.75
2,Alaska,AK,2017,7.25,9.80000019073486,7.25,9.80000019073486,7.25,9.80000019073486
2,Alaska,AK,2018,7.25,9.84000015258789,7.25,9.84000015258789,7.25,9.84000015258789
2,Alaska,AK,2019,7.25,9.89000034332275,7.25,9.89000034332275,7.25,9.89000034332275
1,Alabama,AL,1974,2,2,2,2,2,2
1,Alabama,AL,1975,2.1,2.09999990463257,2.10000000000001,2.09999990463257,2.1,2.09999990463257
1,Alabama,AL,1976,2.3,2.29999995231628,2.29999999999999,2.29999995231628,2.3,2.29999995231628
1,Alabama,AL,1977,2.3,2.29999995231628,2.29999999999999,2.29999995231628,2.3,2.29999995231628
1,Alabama,AL,1978,2.65,2.65000009536743,2.64999999999998,2.65000009536743,2.65,2.65000009536743
1,Alabama,AL,1979,2.9,2.90000009536743,2.89999999999999,2.90000009536743,2.9,2.90000009536743
1,Alabama,AL,1980,3.1,3.09999990463257,3.10000000000001,3.09999990463257,3.1,3.09999990463257
1,Alabama,AL,1981,3.35,3.34999990463257,3.35,3.34999990463257,3.35,3.34999990463257
1,Alabama,AL,1982,3.35,3.34999990463257,3.35,3.34999990463257,3.35,3.34999990463257
1,Alabama,AL,1983,3.35,3.34999990463257,3.35,3.34999990463257,3.35,3.34999990463257
1,Alabama,AL,1984,3.35,3.34999990463257,3.35,3.34999990463257,3.35,3.34999990463257
1,Alabama,AL,1985,3.35,3.34999990463257,3.35,3.34999990463257,3.35,3.34999990463257
1,Alabama,AL,1986,3.35,3.34999990463257,3.35,3.34999990463257,3.35,3.34999990463257
1,Alabama,AL,1987,3.35,3.34999990463257,3.35,3.34999990463257,3.35,3.34999990463257
1,Alabama,AL,1988,3.35,3.34999990463257,3.35,3.34999990463257,3.35,3.34999990463257
1,Alabama,AL,1989,3.35,3.34999990463257,3.35,3.34999990463257,3.35,3.34999990463257
1,Alabama,AL,1990,3.35,3.34999990463257,3.68904109589039,3.68904113769531,3.8,3.79999995231628
1,Alabama,AL,1991,3.8,3.79999995231628,4.13904109589041,4.13904094696045,4.25,4.25
1,Alabama,AL,1992,4.25,4.25,4.25,4.25,4.25,4.25
1,Alabama,AL,1993,4.25,4.25,4.25,4.25,4.25,4.25
1,Alabama,AL,1994,4.25,4.25,4.25,4.25,4.25,4.25
1,Alabama,AL,1995,4.25,4.25,4.25,4.25,4.25,4.25
1,Alabama,AL,1996,4.25,4.25,4.37568306010929,4.37568283081055,4.75,4.75
1,Alabama,AL,1997,4.75,4.75,4.88369863013702,4.88369846343994,5.15,5.15000009536743
1,Alabama,AL,1998,5.15,5.15000009536743,5.15000000000003,5.15000009536743,5.15,5.15000009536743
1,Alabama,AL,1999,5.15,5.15000009536743,5.15000000000003,5.15000009536743,5.15,5.15000009536743
1,Alabama,AL,2000,5.15,5.15000009536743,5.15000000000003,5.15000009536743,5.15,5.15000009536743
1,Alabama,AL,2001,5.15,5.15000009536743,5.15000000000003,5.15000009536743,5.15,5.15000009536743
1,Alabama,AL,2002,5.15,5.15000009536743,5.15000000000003,5.15000009536743,5.15,5.15000009536743
1,Alabama,AL,2003,5.15,5.15000009536743,5.15000000000003,5.15000009536743,5.15,5.15000009536743
1,Alabama,AL,2004,5.15,5.15000009536743,5.15000000000003,5.15000009536743,5.15,5.15000009536743
1,Alabama,AL,2005,5.15,5.15000009536743,5.15000000000003,5.15000009536743,5.15,5.15000009536743
1,Alabama,AL,2006,5.15,5.15000009536743,5.15000000000003,5.15000009536743,5.15,5.15000009536743
1,Alabama,AL,2007,5.15,5.15000009536743,5.45876712328762,5.45876693725586,5.85,5.84999990463257
1,Alabama,AL,2008,5.85,5.84999990463257,6.15792349726776,6.15792369842529,6.55,6.55000019073486
1,Alabama,AL,2009,6.55,6.55000019073486,6.85876712328766,6.85876703262329,7.25,7.25
1,Alabama,AL,2010,7.25,7.25,7.25,7.25,7.25,7.25
1,Alabama,AL,2011,7.25,7.25,7.25,7.25,7.25,7.25
1,Alabama,AL,2012,7.25,7.25,7.25,7.25,7.25,7.25
1,Alabama,AL,2013,7.25,7.25,7.25,7.25,7.25,7.25
1,Alabama,AL,2014,7.25,7.25,7.25,7.25,7.25,7.25
1,Alabama,AL,2015,7.25,7.25,7.25,7.25,7.25,7.25
1,Alabama,AL,2016,7.25,7.25,7.25,7.25,7.25,7.25
1,Alabama,AL,2017,7.25,7.25,7.25,7.25,7.25,7.25
1,Alabama,AL,2018,7.25,7.25,7.25,7.25,7.25,7.25
1,Alabama,AL,2019,7.25,7.25,7.25,7.25,7.25,7.25
5,Arkansas,AR,1974,2,2,2,2,2,2
5,Arkansas,AR,1975,2.1,2.09999990463257,2.10000000000001,2.09999990463257,2.1,2.09999990463257
5,Arkansas,AR,1976,2.3,2.29999995231628,2.29999999999999,2.29999995231628,2.3,2.29999995231628
5,Arkansas,AR,1977,2.3,2.29999995231628,2.29999999999999,2.29999995231628,2.3,2.29999995231628
5,Arkansas,AR,1978,2.65,2.65000009536743,2.64999999999998,2.65000009536743,2.65,2.65000009536743
5,Arkansas,AR,1979,2.9,2.90000009536743,2.89999999999999,2.90000009536743,2.9,2.90000009536743
5,Arkansas,AR,1980,3.1,3.09999990463257,3.10000000000001,3.09999990463257,3.1,3.09999990463257
5,Arkansas,AR,1981,3.35,3.34999990463257,3.35,3.34999990463257,3.35,3.34999990463257
5,Arkansas,AR,1982,3.35,3.34999990463257,3.35,3.34999990463257,3.35,3.34999990463257
5,Arkansas,AR,1983,3.35,3.34999990463257,3.35,3.34999990463257,3.35,3.34999990463257
5,Arkansas,AR,1984,3.35,3.34999990463257,3.35,3.34999990463257,3.35,3.34999990463257
5,Arkansas,AR,1985,3.35,3.34999990463257,3.35,3.34999990463257,3.35,3.34999990463257
5,Arkansas,AR,1986,3.35,3.34999990463257,3.35,3.34999990463257,3.35,3.34999990463257
5,Arkansas,AR,1987,3.35,3.34999990463257,3.35,3.34999990463257,3.35,3.34999990463257
5,Arkansas,AR,1988,3.35,3.34999990463257,3.35,3.34999990463257,3.35,3.34999990463257
5,Arkansas,AR,1989,3.35,3.34999990463257,3.35,3.34999990463257,3.35,3.34999990463257
5,Arkansas,AR,1990,3.35,3.34999990463257,3.68904109589039,3.68904113769531,3.8,3.79999995231628
5,Arkansas,AR,1991,3.8,3.79999995231628,4.13904109589041,4.13904094696045,4.25,4.25
5,Arkansas,AR,1992,4.25,4.25,4.25,4.25,4.25,4.25
5,Arkansas,AR,1993,4.25,4.25,4.25,4.25,4.25,4.25
5,Arkansas,AR,1994,4.25,4.25,4.25,4.25,4.25,4.25
5,Arkansas,AR,1995,4.25,4.25,4.25,4.25,4.25,4.25
5,Arkansas,AR,1996,4.25,4.25,4.37568306010929,4.37568283081055,4.75,4.75
5,Arkansas,AR,1997,4.75,4.75,4.88369863013702,4.88369846343994,5.15,5.15000009536743
5,Arkansas,AR,1998,5.15,5.15000009536743,5.15000000000003,5.15000009536743,5.15,5.15000009536743
5,Arkansas,AR,1999,5.15,5.15000009536743,5.15000000000003,5.15000009536743,5.15,5.15000009536743
5,Arkansas,AR,2000,5.15,5.15000009536743,5.15000000000003,5.15000009536743,5.15,5.15000009536743
5,Arkansas,AR,2001,5.15,5.15000009536743,5.15000000000003,5.15000009536743,5.15,5.15000009536743
5,Arkansas,AR,2002,5.15,5.15000009536743,5.15000000000003,5.15000009536743,5.15,5.15000009536743
5,Arkansas,AR,2003,5.15,5.15000009536743,5.15000000000003,5.15000009536743,5.15,5.15000009536743
5,Arkansas,AR,2004,5.15,5.15000009536743,5.15000000000003,5.15000009536743,5.15,5.15000009536743
5,Arkansas,AR,2005,5.15,5.15000009536743,5.15000000000003,5.15000009536743,5.15,5.15000009536743
5,Arkansas,AR,2006,5.15,5.15000009536743,5.15000000000003,5.42726039886475,5.15,6.25
5,Arkansas,AR,2007,5.15,6.25,5.45876712328768,6.25,5.85,6.25
5,Arkansas,AR,2008,5.85,6.25,6.15792349726776,6.38196706771851,6.55,6.55000019073486
5,Arkansas,AR,2009,6.55,6.55000019073486,6.85876712328766,6.85876703262329,7.25,7.25
5,Arkansas,AR,2010,7.25,7.25,7.25,7.25,7.25,7.25
5,Arkansas,AR,2011,7.25,7.25,7.25,7.25,7.25,7.25
5,Arkansas,AR,2012,7.25,7.25,7.25,7.25,7.25,7.25
5,Arkansas,AR,2013,7.25,7.25,7.25,7.25,7.25,7.25
5,Arkansas,AR,2014,7.25,7.25,7.25,7.25,7.25,7.25
5,Arkansas,AR,2015,7.25,7.5,7.25,7.5,7.25,7.5
5,Arkansas,AR,2016,7.25,8,7.25,8,7.25,8
5,Arkansas,AR,2017,7.25,8.5,7.25,8.5,7.25,8.5
5,Arkansas,AR,2018,7.25,8.5,7.25,8.5,7.25,8.5
5,Arkansas,AR,2019,7.25,9.25,7.25,9.25,7.25,9.25
4,Arizona,AZ,1974,2,2,2,2,2,2
4,Arizona,AZ,1975,2.1,2.09999990463257,2.10000000000001,2.09999990463257,2.1,2.09999990463257
4,Arizona,AZ,1976,2.3,2.29999995231628,2.29999999999999,2.29999995231628,2.3,2.29999995231628
4,Arizona,AZ,1977,2.3,2.29999995231628,2.29999999999999,2.29999995231628,2.3,2.29999995231628
4,Arizona,AZ,1978,2.65,2.65000009536743,2.64999999999998,2.65000009536743,2.65,2.65000009536743
4,Arizona,AZ,1979,2.9,2.90000009536743,2.89999999999999,2.90000009536743,2.9,2.90000009536743
4,Arizona,AZ,1980,3.1,3.09999990463257,3.10000000000001,3.09999990463257,3.1,3.09999990463257
4,Arizona,AZ,1981,3.35,3.34999990463257,3.35,3.34999990463257,3.35,3.34999990463257
4,Arizona,AZ,1982,3.35,3.34999990463257,3.35,3.34999990463257,3.35,3.34999990463257
4,Arizona,AZ,1983,3.35,3.34999990463257,3.35,3.34999990463257,3.35,3.34999990463257
4,Arizona,AZ,1984,3.35,3.34999990463257,3.35,3.34999990463257,3.35,3.34999990463257
4,Arizona,AZ,1985,3.35,3.34999990463257,3.35,3.34999990463257,3.35,3.34999990463257
4,Arizona,AZ,1986,3.35,3.34999990463257,3.35,3.34999990463257,3.35,3.34999990463257
4,Arizona,AZ,1987,3.35,3.34999990463257,3.35,3.34999990463257,3.35,3.34999990463257
4,Arizona,AZ,1988,3.35,3.34999990463257,3.35,3.34999990463257,3.35,3.34999990463257
4,Arizona,AZ,1989,3.35,3.34999990463257,3.35,3.34999990463257,3.35,3.34999990463257
4,Arizona,AZ,1990,3.35,3.34999990463257,3.68904109589039,3.68904113769531,3.8,3.79999995231628
4,Arizona,AZ,1991,3.8,3.79999995231628,4.13904109589041,4.13904094696045,4.25,4.25
4,Arizona,AZ,1992,4.25,4.25,4.25,4.25,4.25,4.25
